country,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Comoros,,,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,0,2,0,24,0,3,0,0,0,0,0,0,199,0,81,14,0,0,16,0,0,26,41,104,0,184,0,120,40,35,0,0,0,0,0,8,,,
Cape Verde,11k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20k,0,0,0,0,0,30k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,29,0,0,0,0,0,0,0,0,0,245,0,0,0,0,18,0,0,0,0,0,0,0,57,0,9,0,0,0,0,0,24,0,0,,,,,
Costa Rica,,,,,,,,,,,2450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,10,0,0,0,0,0,0,0,15,0,0,0,0,87,7,24,0,0,21,0,2,0,0,0,0,1,0,0,12,0,0,0,0,35,0,24,48,0,12,2,0,60,0,8,9,34,0,10,3,10,21,0,19,11,31,27,4,8,3,0,0,9,25,1,0,0,3,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,600,0,0,0,0,0,2500,0,0,35,0,0,0,0,0,0,0,0,17,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750,0,0,5,0,0,0,20,0,0,0,0,0,1,7,6,0,3,0,24,15,0,4,0,0,50,195,7,190,359,51,22,26,3,116,29,18,2,5,32,30,4,51,2,54,7,14,68,45,14,2,0,3,0,10,121,6,0,10,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,52,0,5,0,0,0,0,31,0,4,0,0,0,13,0,0,0,0,0,0,49,0,0,4,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,1,29,6,0,0,0,20,437,0,16,6,4,12,15,23,0,32,15,0,0,0,0,16,0,12,6,
Germany,,,,,,,,,360,0,0,0,0,28,0,19,27,23,22,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,12,11,11,46,16,0,29,0,0,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,28,33,11,13,5,39,30,105,30,31,6,120,9370,2,14,51,32,29,15,41,14,20,11,19,0,19,23,5,5,0,206,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,63,0,25,0,0,0,0,0,0,0,10,0,0,0,0,155,0,0,29,43,0,4,0,1,0,51,0,132,6,0,13,0,0,0,0,0,0,0,0,2,112,8,34,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,30,0,64,,,,,
Denmark,,,,,,,,,,,,,,,,,,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,55,1,0,0,0,0,0,0,0,0,7,0,0,1,0,1,4,0,0,0,0,0,0,0,2,,,,,,,,,
